state,income_actual,income_predicted,health_actual,health_predicted,education_actual,education_predicted,social_security_actual,social_security_predicted,housing_actual,housing_predicted,food_actual,food_predicted
Aguascalientes,33.0,41.220592450478826,26.2,24.50597793203528,16.5,17.485882682767485,34.7,41.370943831168816,3.6,5.8879333058916385,15.6,17.29150821709155
Baja California,18.8,39.729876000262365,28.4,28.9387796065046,15.5,19.510261114520926,34.7,44.35534794372295,5.1,7.134254449254448,10.0,17.06492107583775
Baja California Sur,17.9,53.591087183019006,17.3,28.207423831723844,14.2,21.148541495722878,29.9,53.49372976190476,9.25,22.472112193362186,14.5,26.13789812632136
Campeche,51.0,59.106555752328475,34.6,25.337200909058257,20.3,22.431923536340207,54.7,61.32260909923409,24.9,26.230048480840146,22.0,25.642437469694045
Coahuila,28.8,42.90750564082383,19.7,25.110866856999213,13.5,19.252135232686708,24.4,43.76415588023088,3.4,7.186599451474451,13.2,17.526373677248678
Colima,27.3,41.25829342122525,21.9,29.55219085914086,15.6,21.886814793231462,35.9,45.66276017316018,4.75,9.136351952060288,14.0,17.12357215007215
Chiapas,70.0,60.77910743549379,66.1,30.835038333888328,31.1,23.15302891861226,77.9,62.96567305749808,36.45,23.833923260381592,20.9,27.614944746611403
Chihuahua,25.5,40.79080840876295,21.5,26.68276217948717,16.1,19.553954313297456,32.4,40.32758995726497,5.0,7.408387786596121,9.7,15.954723985890656
Ciudad de México,32.2,41.169125639512,28.7,28.54859756909756,9.7,20.210247702007507,39.3,43.73628365800866,3.7,8.223092937926271,11.4,17.049889329806
Durango,43.5,52.596617783731425,30.2,23.893131789289143,17.9,19.01145784943089,46.2,52.13412056277056,9.0,17.561280864197528,20.3,25.350133056514636
Guanajuato,41.4,44.42899099637735,33.2,24.139066363048713,22.8,21.406703995713812,50.2,47.70286428571428,7.800000000000001,8.310077491952493,18.3,19.725442298198868
Guerrero,63.7,59.1598763761491,52.7,25.142540320790314,28.8,20.79799218238189,71.6,59.79183774281271,40.4,24.667275773609102,31.5,27.596086499676414
Hidalgo,46.1,49.70867832420103,50.4,24.899944019869018,20.0,19.785781084656094,65.4,48.433155303030304,15.45,12.626496218287889,19.1,22.968643478191723
Jalisco,29.2,41.9116479076479,37.1,28.73346319236319,20.4,20.975315489158632,42.0,42.98797503607505,4.75,9.470802173135509,13.8,16.781964125380796
Estado de México,52.9,47.03948181364088,44.2,24.79626589129824,16.3,18.969603522113328,52.1,48.71152240259741,8.05,10.878337853504524,20.3,22.369320586577157
Michoacán,46.4,43.26967284735467,51.2,29.065878160728158,28.9,21.903726722986526,62.8,47.54539816017316,16.05,9.899278465361798,23.0,20.589462463462453
Morelos,47.8,44.52114308671127,46.4,27.565592787767788,17.9,20.96113096534911,58.0,47.8688786075036,13.7,10.621572715864385,18.5,17.80768867243867
Nayarit,35.3,42.953675816607635,34.1,27.88355886335886,20.3,21.27860390753039,51.5,46.87201602841603,12.6,9.197680439930439,17.0,17.763319845278186
Nuevo León,25.7,40.1129336219336,22.8,24.52931535131534,13.5,19.14636655075136,27.2,43.002613997114,3.5,9.067383317299983,11.7,16.70487962962963
Oaxaca,61.4,58.58987509964784,65.7,26.062407004106998,29.1,22.565148475616617,74.3,58.655801587301575,38.150000000000006,23.356147466730793,28.6,26.96686060982553
Puebla,60.8,54.61180022250477,48.3,24.927689792397132,21.9,19.745269881988015,67.3,51.630064366189366,19.25,10.242850319433655,22.2,26.339819784909697
Querétaro,29.2,42.355563492063496,30.4,28.206005722055725,17.6,23.27533488951136,43.2,43.68669025974025,6.4,9.868526535193205,13.0,17.18012197370531
Quintana Roo,33.0,61.56641648755284,32.4,28.279801930259293,16.5,22.35672441819256,42.4,61.3552149073149,18.25,23.417370310245303,15.0,29.411895781444027
San Luis Potosí,42.3,43.728751803751805,34.6,26.11399560717062,20.6,21.22325589225589,48.2,47.786120177045184,16.5,10.00858648450315,13.9,17.995941876025203
Sinaloa,28.3,38.41946461366916,26.6,22.185727541902533,17.0,19.51012474780122,39.1,41.25029728049727,8.399999999999999,9.018954024370693,17.3,18.16836772486772
Sonora,27.8,41.34749193231012,24.4,23.39178606556842,14.6,21.827750352135162,33.2,43.24130937950938,8.649999999999999,11.479346030512705,19.6,18.98847004384504
Tabasco,50.1,54.10663946154855,44.8,24.97888947163947,17.9,19.236341999685138,58.3,50.845323737373725,28.1,17.7790750962001,38.9,29.56116223721048
Tamaulipas,37.5,39.3555033451397,27.9,23.28897746305981,16.1,19.23487613376094,39.4,43.308941702741706,6.449999999999999,8.375686051602719,12.4,16.950780423280424
Tlaxcala,62.9,49.14131609804337,45.2,28.386611097236095,16.1,19.887886261886266,61.9,49.30253250360749,8.149999999999999,10.391974337391009,22.7,23.77478218849052
Veracruz,57.7,56.585412713549076,49.2,25.359122962005305,25.5,20.008549563726028,60.9,51.93131907814407,25.0,13.68332178007178,21.6,25.87486193257685
Yucatán,45.7,58.37509938546302,35.1,29.949275743700746,21.2,21.922060714612183,45.8,56.574817207792194,23.7,22.48809355459355,15.4,28.88796275175441
Zacatecas,53.0,46.37888605081784,36.7,29.38356308136308,20.7,23.390609788359786,57.0,51.814102236652204,6.0,10.738470705220704,16.6,22.793988215488216
